Usage (kWh),TimeOfDay,VoltageFluctuations,NumberOfResidents,ApplianceCount,IndustrialAreaNearby,PreviousTheftHistory,AverageDailyUsage,BillPaymentDelay (days),UnusualUsageSpike,Theft
92,3,2,7,14,1,1,25,46,1,1
379,3,3,8,25,1,1,38,32,0,0
187,4,3,6,17,1,0,12,73,1,1
197,1,1,10,10,1,0,39,76,0,0
455,4,1,1,7,1,0,10,59,1,0
294,4,1,9,24,0,0,49,78,0,0
154,4,2,5,19,0,0,11,49,0,0
96,4,2,7,19,1,1,16,31,1,1
288,2,1,4,14,0,0,20,52,0,0
217,3,2,8,15,1,1,25,42,1,1
67,1,2,4,18,0,0,38,52,0,0
362,4,3,8,24,1,1,37,88,1,1
195,2,2,9,10,1,1,47,42,1,1
406,1,2,8,13,1,1,35,20,1,1
339,3,3,5,12,1,0,40,57,1,0
100,3,1,1,8,1,1,40,25,0,0
109,4,0,7,7,0,1,23,34,0,0
463,1,3,7,9,0,0,29,80,1,1
473,3,3,4,22,0,1,33,4,1,1
113,4,2,8,13,0,1,21,82,0,1
145,4,1,8,22,1,1,43,25,1,1
73,2,0,9,8,1,0,23,71,1,1
461,3,2,1,15,1,1,22,31,1,1
86,1,2,8,17,1,0,27,47,0,0
177,4,2,3,8,0,1,27,64,0,1
129,1,0,1,23,1,1,20,61,1,1
120,4,3,2,8,0,1,33,58,1,1
111,2,2,7,17,1,0,10,17,1,0
224,2,0,2,17,1,0,11,27,0,0
100,3,3,7,18,0,0,21,40,1,0
472,1,3,7,18,1,1,49,66,1,1
360,3,3,10,25,0,1,15,1,1,1
196,1,3,7,20,1,1,41,0,1,1
123,1,0,9,21,0,0,49,54,0,0
387,2,0,10,21,0,1,33,34,1,1
182,1,1,6,21,0,1,42,40,0,0
356,4,1,9,17,0,1,23,55,0,0
274,1,0,6,23,1,1,44,54,0,0
285,4,0,1,6,1,0,46,20,1,0
379,4,3,8,18,1,0,49,46,1,0
129,1,3,1,14,1,1,31,51,1,1
248,3,0,5,14,1,1,31,18,1,1
314,1,0,4,23,0,0,33,30,1,0
365,4,0,3,7,0,0,49,13,1,0
87,3,3,7,16,0,0,44,18,0,0
283,4,1,8,17,0,0,19,9,1,0
274,3,3,4,23,1,1,18,19,0,0
71,3,3,4,11,0,0,50,56,1,0
375,4,1,7,16,0,1,38,45,0,0
367,3,0,6,25,0,0,24,33,1,0
221,3,1,9,21,0,0,41,0,1,0
394,3,2,2,7,1,0,11,44,0,0
138,3,0,6,5,1,1,35,48,1,1
60,2,3,9,7,1,0,29,59,1,0
491,2,3,9,12,1,0,27,16,1,0
161,4,0,6,12,0,0,32,83,0,0
201,3,1,5,16,1,1,25,35,1,1
51,2,1,9,25,0,1,43,41,0,0
171,2,3,6,12,1,0,43,16,1,0
242,4,0,10,23,0,0,13,44,0,0
163,4,0,5,9,0,0,27,54,0,0
152,3,0,6,12,1,0,18,28,0,0
406,1,3,7,17,0,1,10,22,1,1
236,3,3,5,23,0,1,20,75,0,1
493,1,1,9,25,1,0,25,65,1,1
455,4,0,7,17,0,0,23,35,1,0
318,1,2,6,13,1,0,35,52,0,0
55,4,0,6,12,1,1,23,14,1,1
61,3,0,4,21,1,1,39,44,0,0
237,4,3,6,22,1,1,22,27,1,1
440,3,3,4,16,1,0,43,9,1,0
336,1,0,10,20,0,0,11,50,0,0
80,2,3,2,18,1,0,43,35,0,0
473,4,2,4,17,1,0,44,18,1,0
278,2,2,9,17,1,0,39,45,1,0
203,2,0,2,22,1,1,27,30,1,1
246,2,0,7,15,1,1,22,58,0,0
449,3,0,4,6,1,0,11,33,1,0
242,3,0,8,14,0,1,13,56,1,1
175,4,2,5,19,1,1,12,29,1,1
442,1,1,2,9,1,0,24,70,1,1
145,1,0,3,10,0,0,12,84,1,1
317,1,1,3,23,0,1,46,66,0,1
479,2,2,4,21,0,1,19,87,1,1
151,4,2,4,5,0,0,20,58,1,0
246,2,3,9,18,0,1,49,51,0,0
428,4,2,8,15,0,0,35,63,1,1
457,2,1,8,12,1,0,37,43,1,0
72,2,0,6,12,1,1,36,89,1,1
371,4,1,10,18,1,0,27,13,1,0
469,4,0,7,18,1,0,38,87,1,1
195,1,3,3,12,1,1,15,4,1,1
299,2,2,3,22,0,0,15,34,1,0
209,1,3,3,16,1,0,37,29,0,0
364,3,0,2,12,1,1,27,49,0,0
357,3,1,1,10,0,1,45,7,1,1
90,4,3,4,24,1,0,15,21,0,0
134,2,0,8,8,1,1,48,32,1,1
291,2,1,8,22,1,1,33,39,1,1
258,2,1,10,6,1,1,14,4,1,1
305,3,3,10,10,0,0,15,48,1,0
275,3,3,5,23,0,0,10,49,1,0
194,1,2,2,17,1,1,27,21,1,1
229,1,0,4,16,0,0,40,24,1,0
451,4,3,7,11,1,0,15,61,1,1
270,4,1,3,11,0,1,46,62,0,1
99,3,0,2,5,0,0,44,1,0,0
307,4,0,2,14,0,0,49,12,0,0
482,2,1,2,19,0,0,41,31,1,0
267,2,0,6,24,0,0,25,68,1,1
262,3,2,3,11,1,1,21,64,0,1
82,2,0,2,17,0,1,30,76,1,1
296,1,3,9,13,1,0,44,9,0,0
487,3,0,5,17,0,0,18,31,1,0
315,3,1,9,17,1,0,19,23,1,0
391,1,1,7,5,0,0,37,2,0,0
305,1,2,1,6,0,0,34,49,0,0
322,1,2,1,9,1,1,32,28,1,1
373,3,2,3,24,0,1,11,56,1,1
265,4,1,3,20,0,1,36,83,1,1
461,1,2,4,10,0,1,36,34,1,1
327,4,1,9,21,0,1,46,22,0,0
54,2,3,2,9,1,1,33,33,0,0
445,3,0,2,19,0,1,36,60,1,1
212,2,0,8,17,0,0,12,76,0,0
229,1,0,3,16,1,1,28,71,1,1
102,1,0,3,19,1,1,22,83,0,1
464,1,2,3,17,0,1,36,83,1,1
96,2,0,10,22,1,1,36,4,1,1
377,4,3,8,17,0,1,37,58,0,0
98,1,3,5,16,0,1,33,1,1,1
272,2,3,9,7,0,0,45,55,0,0
201,3,1,6,15,1,1,24,21,0,0
295,2,0,8,5,0,0,18,57,1,0
55,3,0,8,19,1,1,19,19,1,1
491,3,3,9,18,1,1,33,34,1,1
414,4,3,4,21,1,0,49,66,1,1
82,1,1,5,7,1,1,47,65,0,1
59,1,2,4,23,1,1,31,8,1,1
68,3,1,5,13,1,1,39,43,1,1
193,2,0,9,24,1,1,19,84,0,1
353,1,3,8,14,1,0,16,13,0,0
249,3,0,1,21,1,1,16,68,1,1
364,4,3,2,11,1,0,32,22,0,0
91,3,2,2,11,0,1,40,18,0,0
184,2,2,3,11,1,0,32,64,0,0
211,4,0,8,9,1,0,10,75,0,0
266,3,3,4,23,1,1,41,38,0,0
371,1,1,7,17,1,1,20,82,0,1
95,3,2,9,20,1,1,26,76,1,1
245,1,0,9,13,0,1,22,46,0,0
299,3,0,4,15,0,0,15,42,1,0
156,2,1,3,13,0,1,35,11,1,1
347,2,1,4,15,1,0,35,59,0,0
477,1,2,7,16,0,0,19,82,1,1
457,3,1,8,10,1,1,13,6,1,1
339,3,2,5,9,1,0,10,86,1,1
402,1,3,6,24,1,1,39,37,1,1
490,3,2,4,17,1,0,49,60,1,0
231,1,2,4,5,0,0,39,75,0,0
276,4,3,3,25,0,1,41,55,1,1
498,4,3,2,19,0,1,48,5,1,1
309,3,2,1,21,0,1,12,57,0,0
125,1,1,5,17,0,0,34,57,1,0
391,1,2,4,13,1,0,26,60,1,0
460,3,3,4,16,0,0,12,10,1,0
171,1,1,4,18,1,0,38,64,0,0
436,2,2,4,13,0,0,25,67,1,1
70,3,2,1,18,1,1,36,35,0,0
69,1,0,6,20,1,0,48,36,1,0
153,4,0,1,25,1,0,29,68,0,0
315,1,0,1,6,0,0,22,57,0,0
457,3,2,8,20,0,1,43,14,1,1
222,1,3,6,23,1,0,38,85,0,0
210,3,2,4,12,0,1,30,12,0,0
357,3,0,2,22,0,1,48,58,1,1
307,4,3,5,6,1,0,21,41,1,0
441,4,1,10,23,1,0,18,64,1,1
164,2,2,2,21,0,0,25,41,1,0
79,3,3,2,13,0,1,38,71,0,1
370,3,1,9,15,0,0,36,2,0,0
279,4,1,2,12,1,1,23,10,0,0
410,4,3,10,16,1,0,41,80,1,1
324,1,0,10,16,1,0,15,59,1,0
284,2,2,5,13,0,0,16,81,0,0
174,1,2,5,18,0,1,45,31,0,0
451,2,3,10,6,0,1,16,6,1,1
459,1,0,8,20,1,0,50,40,1,0
133,1,1,6,13,0,1,45,36,1,1
203,1,0,2,9,0,1,20,2,1,1
457,1,0,8,15,1,1,25,18,1,1
486,3,1,10,20,1,0,43,78,1,1
109,2,0,10,24,1,1,12,62,1,1
354,4,3,6,18,1,1,38,63,1,1
191,3,2,10,14,0,0,27,67,0,0
108,1,2,6,9,1,0,49,29,0,0
249,3,3,6,12,1,0,23,62,1,1
300,4,0,10,22,1,1,31,70,1,1
316,2,1,4,15,0,1,26,42,1,1
308,1,2,3,19,1,0,43,15,1,0
211,3,1,7,5,0,0,27,37,0,0
191,2,3,3,9,0,1,20,37,0,0
264,3,1,4,25,1,1,38,18,0,0
366,2,3,5,11,0,1,47,46,0,0
168,2,3,6,19,1,0,44,18,0,0
96,4,2,7,9,0,1,32,59,1,1
119,1,3,7,12,0,1,21,52,0,0
426,4,0,10,13,1,0,24,73,1,1
252,3,0,10,23,1,0,38,10,1,0
341,4,1,1,11,0,0,30,57,0,0
315,1,2,6,18,0,0,10,4,1,0
330,3,3,1,20,1,0,15,62,1,1
189,4,2,3,14,1,0,12,78,1,1
272,4,1,4,14,0,1,37,50,0,0
324,3,1,2,23,1,1,23,8,1,1
245,2,3,2,6,1,1,36,78,1,1
190,4,0,7,7,1,1,11,68,0,1
310,1,2,1,17,1,0,40,87,0,0
482,3,1,7,17,0,1,44,74,1,1
276,1,0,5,24,0,1,18,42,1,1
97,4,1,2,16,0,1,25,30,0,0
450,2,0,4,21,0,1,38,54,1,1
56,3,2,2,24,1,0,49,85,1,0
322,2,3,5,24,1,0,31,48,1,0
176,2,0,8,17,0,0,12,50,0,0
201,1,3,8,22,1,1,40,17,1,1
115,3,0,8,23,1,0,26,57,0,0
364,2,0,2,10,1,0,42,6,1,0
105,4,2,4,19,1,1,16,74,1,1
232,4,3,1,25,0,0,32,78,0,0
248,3,3,7,11,0,0,26,4,1,0
370,1,1,9,17,0,1,47,45,0,0
346,4,3,6,5,1,0,41,75,0,0
410,1,1,6,22,1,0,38,73,1,1
336,2,2,3,23,1,0,22,50,1,0
220,2,0,9,23,0,0,29,57,0,0
194,4,3,8,10,1,1,43,6,1,1
196,2,2,1,6,1,1,50,66,0,1
207,2,2,8,9,1,1,31,61,1,1
343,2,1,9,18,1,0,38,52,1,0
458,4,3,10,22,0,0,35,1,1,0
375,1,3,1,20,0,1,21,22,1,1
175,3,0,3,6,0,0,18,34,1,0
260,1,1,2,24,1,1,43,43,0,0
215,2,2,9,24,1,0,43,63,1,1
404,1,3,4,14,1,1,13,45,1,1
127,2,3,3,17,1,1,10,25,0,0
222,2,2,7,24,0,0,29,9,1,0
369,1,3,6,17,1,0,35,73,1,1
81,2,1,2,19,1,1,46,66,1,1
447,2,2,7,8,1,0,21,89,1,1
274,1,0,1,23,1,1,49,67,0,1
86,2,3,2,14,1,0,39,48,0,0
60,1,2,10,13,0,1,18,63,1,1
454,1,0,10,5,0,0,18,64,1,1
350,3,2,10,16,0,0,13,48,0,0
394,4,1,7,10,0,0,11,51,0,0
139,3,2,6,8,0,0,45,2,1,0
147,3,1,1,6,1,0,41,23,1,0
69,2,2,5,12,0,1,18,21,0,0
397,1,2,10,17,0,0,43,90,0,0
430,1,2,1,25,1,0,19,29,1,0
195,3,1,2,17,1,1,40,12,1,1
74,1,1,8,22,1,1,10,63,1,1
249,2,3,9,20,0,1,11,27,0,0
145,2,1,8,14,0,0,49,65,0,0
154,2,3,5,21,1,0,20,90,1,1
89,1,2,5,8,1,0,14,86,0,0
477,1,1,5,22,0,1,31,59,1,1
436,1,1,1,20,1,1,19,29,1,1
456,3,3,3,6,1,0,32,51,1,0
479,2,1,2,10,1,1,11,66,1,1
472,1,3,10,24,0,1,17,67,1,1
317,2,2,10,9,0,1,43,21,1,1
459,3,3,5,8,0,0,50,52,1,0
398,3,3,9,14,0,1,45,33,1,1
379,2,0,5,14,0,0,26,63,1,1
354,3,1,10,12,1,1,47,84,0,1
103,2,0,3,21,1,1,21,64,1,1
324,3,2,2,8,0,0,21,47,1,0
202,4,0,8,7,0,1,39,17,1,1
194,1,1,6,25,1,1,13,83,1,1
205,3,3,3,16,1,1,50,90,0,1
409,2,3,2,24,1,0,12,23,1,0
173,2,0,1,20,0,1,19,14,1,1
489,2,0,5,22,1,1,47,66,1,1
253,1,2,6,12,1,1,12,73,0,1
246,2,3,6,5,0,1,40,5,0,0
483,1,1,10,5,0,1,42,21,1,1
408,4,2,9,13,1,0,24,42,1,0
465,2,3,5,11,1,0,29,22,1,0
238,4,3,2,8,0,1,30,89,0,1
314,3,2,10,7,1,1,33,9,1,1
197,4,0,2,14,1,1,24,4,0,0
339,3,2,2,10,1,1,42,5,0,0
380,4,3,2,13,0,0,37,66,1,1
454,1,2,8,16,1,1,50,52,1,1
321,1,1,10,7,1,1,14,50,0,0
378,4,1,3,16,1,0,14,90,0,0
230,2,3,8,22,1,0,25,24,1,0
202,2,3,5,23,0,0,25,42,0,0
415,2,0,7,8,1,1,10,84,1,1
269,2,3,10,6,1,1,20,32,1,1
350,4,2,9,15,0,1,50,22,0,0
358,2,1,1,25,0,1,25,31,1,1
167,4,2,5,25,0,1,15,37,0,0
151,3,2,3,19,0,1,13,71,0,1
335,4,2,9,10,1,0,45,61,1,1
219,1,1,3,23,1,0,23,70,0,0
245,4,2,10,7,0,1,27,56,1,1
378,1,3,1,5,0,0,30,26,1,0
419,2,3,8,17,0,0,46,42,1,0
334,2,2,5,19,1,0,47,85,1,1
469,2,2,7,14,0,1,49,83,1,1
425,3,2,5,22,1,0,38,59,1,0
322,1,2,4,18,0,1,40,25,1,1
165,3,3,3,12,0,1,28,90,0,1
281,1,2,3,8,1,1,32,31,1,1
178,3,1,3,23,0,0,23,35,1,0
166,4,1,1,15,0,0,20,37,1,0
474,2,1,9,23,0,0,19,54,1,0
154,2,1,8,16,1,0,18,58,0,0
253,3,0,8,19,1,1,42,29,0,0
141,3,1,4,11,1,1,45,54,1,1
276,1,1,1,8,0,0,42,44,0,0
257,1,1,6,13,0,1,10,29,1,1
451,1,1,9,23,0,0,27,61,1,1
93,3,0,8,12,1,0,47,24,1,0
119,4,2,10,10,1,1,28,27,1,1
126,3,0,4,17,1,0,37,30,1,0
283,4,2,10,20,1,1,32,47,1,1
81,3,1,4,16,0,0,50,89,0,0
386,4,0,6,16,1,0,19,1,1,0
409,4,0,7,16,0,1,11,66,1,1
252,4,2,6,25,0,1,24,13,0,0
410,2,2,3,7,0,1,10,13,1,1
293,2,0,6,24,0,0,34,3,0,0
498,2,0,8,16,1,1,43,69,1,1
448,1,3,10,14,1,1,13,63,1,1
483,3,2,8,13,1,0,48,57,1,0
103,2,0,9,17,1,0,45,38,1,0
379,3,1,3,25,1,0,41,77,0,0
150,2,1,5,16,0,0,38,75,0,0
170,2,1,1,25,1,0,21,26,1,0
366,4,1,4,8,1,0,47,76,0,0
239,4,3,2,21,0,1,26,47,0,0
498,4,1,8,16,0,1,22,45,1,1
230,1,3,8,18,1,0,49,65,1,1
199,2,1,2,6,1,1,26,54,1,1
228,3,2,9,17,1,1,16,68,1,1
369,3,2,4,10,1,0,45,22,0,0
266,1,3,5,18,0,0,16,31,0,0
148,3,2,5,13,0,0,39,47,1,0
280,1,3,1,6,0,0,21,69,0,0
107,2,2,2,17,0,0,19,78,1,1
252,2,0,1,18,0,1,11,30,1,1
463,4,1,1,19,1,0,42,57,1,0
355,1,0,8,25,0,0,19,50,0,0
323,2,0,4,22,0,0,14,10,1,0
328,4,0,7,12,1,1,23,90,1,1
427,4,1,2,16,1,0,48,34,1,0
391,1,2,9,15,1,0,37,86,1,1
417,2,1,5,12,0,1,45,51,1,1
361,1,3,4,14,1,0,29,19,1,0
409,3,1,1,23,0,0,43,49,1,0
241,3,2,3,9,0,1,16,15,0,0
148,1,1,4,10,1,1,30,4,0,0
266,1,2,4,13,1,1,14,38,0,0
290,1,3,7,9,1,0,21,76,0,0
132,3,0,6,11,1,0,29,88,0,0
493,3,1,10,23,1,1,33,61,1,1
250,3,0,5,19,0,1,16,14,0,0
438,4,1,3,18,1,0,37,47,1,0
181,2,2,1,24,1,0,34,9,1,0
465,2,1,3,6,0,1,42,9,1,1
324,2,0,1,22,0,0,29,28,0,0
355,1,1,6,19,0,1,46,76,0,1
221,3,2,4,18,1,0,32,20,1,0
356,3,0,3,22,0,0,19,76,1,1
352,2,0,3,25,0,1,33,67,1,1
187,1,2,5,5,0,1,43,34,1,1
94,2,1,1,11,1,1,13,21,0,0
432,4,0,5,25,1,0,16,29,1,0
263,1,2,7,6,0,0,46,4,1,0
178,4,2,8,24,1,0,29,54,1,0
473,4,2,2,19,1,0,23,61,1,1
294,4,0,3,14,0,1,32,7,0,0
466,4,3,9,7,1,0,27,31,1,0
119,3,0,8,8,0,1,32,32,1,1
227,3,3,8,19,1,0,44,82,0,0
391,2,1,2,22,1,1,10,32,0,0
64,4,1,9,11,0,1,11,7,0,0
121,2,0,7,20,1,0,34,42,0,0
188,2,0,9,21,1,0,14,24,0,0
293,3,3,2,5,1,0,28,82,1,1
281,3,2,2,7,0,0,29,76,1,1
485,4,1,9,9,1,1,15,14,1,1
337,4,0,10,25,1,0,21,77,1,1
334,4,1,3,13,0,1,13,52,1,1
66,3,2,9,7,0,1,29,63,0,1
285,3,3,4,13,0,0,42,47,1,0
83,1,2,10,23,1,1,22,19,0,0
110,4,0,4,16,0,0,50,10,0,0
478,4,1,2,10,0,0,41,76,1,1
223,4,0,9,12,1,0,30,46,0,0
263,4,1,5,8,0,0,29,89,0,0
260,4,0,9,11,0,1,11,80,1,1
146,1,2,2,6,0,1,28,5,0,0
284,1,0,7,23,1,0,46,26,1,0
144,4,1,8,10,0,1,15,57,0,0
87,2,3,7,16,1,0,46,15,1,0
196,3,1,9,15,1,0,32,58,1,0
309,2,2,1,25,1,0,37,42,0,0
267,3,1,3,21,0,1,22,12,1,1
200,2,1,4,18,1,1,41,59,1,1
278,1,1,3,17,1,1,32,22,0,0
194,3,3,7,14,0,0,36,85,0,0
447,4,0,7,16,1,1,37,21,1,1
174,1,3,10,8,1,0,11,70,1,1
324,3,3,10,15,1,1,36,82,0,1
201,2,1,6,25,1,0,30,45,1,0
63,1,2,1,21,1,0,28,68,0,0
301,2,0,6,25,0,1,42,20,0,0
140,3,1,6,24,1,1,19,60,1,1
393,3,2,8,17,1,1,19,36,0,0
359,1,3,4,19,0,1,45,3,1,1
436,2,0,4,23,0,0,46,70,1,1
167,2,2,5,23,0,0,40,60,1,0
497,2,1,3,20,1,1,37,52,1,1
393,1,0,6,10,0,0,21,44,0,0
187,1,0,1,7,0,1,41,70,0,1
348,1,3,8,20,1,1,30,38,1,1
388,3,1,3,16,1,1,12,55,0,0
465,1,1,4,21,0,0,40,22,1,0
455,2,2,2,17,1,0,20,73,1,1
146,1,1,9,13,0,1,49,90,1,1
85,4,3,5,21,0,1,18,58,0,0
107,2,0,10,17,1,1,12,5,0,0
303,4,2,3,19,0,0,45,59,0,0
104,3,2,2,20,1,0,23,47,0,0
146,3,1,6,17,0,0,48,7,0,0
285,3,3,4,23,1,1,44,86,1,1
197,3,2,5,17,1,1,27,51,1,1
389,3,1,8,13,1,1,33,76,1,1
491,3,0,8,23,0,0,18,43,1,0
137,3,1,6,21,1,0,41,73,1,1
62,4,2,10,13,0,0,29,30,1,0
136,2,3,8,5,0,0,22,89,0,0
460,4,3,2,18,0,0,24,42,1,0
110,3,2,1,18,1,1,21,53,0,0
405,2,0,5,11,0,1,47,78,1,1
197,4,3,7,14,1,0,38,46,1,0
91,4,2,9,13,0,0,24,38,1,0
232,2,1,8,5,0,1,35,1,1,1
77,4,0,10,20,0,1,17,23,0,0
163,2,0,5,25,0,1,38,33,1,1
236,3,2,1,20,0,0,40,89,0,0
75,4,0,4,13,1,0,34,70,0,0
198,3,2,4,7,0,1,12,32,0,0
198,4,0,7,6,1,1,46,51,0,0
210,3,0,6,20,1,0,38,87,1,1
62,2,1,2,24,1,0,46,85,0,0
393,2,3,2,24,1,1,31,21,0,0
365,4,0,1,9,0,0,18,89,1,1
221,3,3,1,9,1,1,31,33,0,0
93,1,1,6,23,1,0,13,15,1,0
405,3,3,9,5,1,0,15,8,1,0
226,4,1,2,12,1,1,18,79,1,1
193,3,0,3,21,1,0,10,85,0,0
154,4,1,6,22,0,0,31,2,0,0
163,4,1,8,25,1,1,36,16,0,0
106,1,1,8,18,1,0,23,42,0,0
470,3,0,10,5,0,0,40,78,1,1
426,2,2,6,24,0,1,50,76,1,1
288,1,2,1,24,1,0,26,41,1,0
98,3,2,1,18,0,0,50,49,1,0
192,4,2,3,25,0,0,40,75,0,0
454,2,0,1,22,1,1,25,64,1,1
395,4,3,4,16,0,1,34,64,1,1
321,4,0,6,8,1,1,22,51,0,0
58,1,0,5,13,0,1,33,90,1,1
129,4,1,8,12,0,0,27,42,1,0
253,2,3,8,12,1,1,12,69,1,1
324,4,0,4,22,1,0,49,59,0,0
478,2,1,6,11,0,1,15,25,1,1
105,3,1,2,9,0,1,43,64,1,1
120,3,1,5,24,1,1,38,8,0,0
414,4,3,6,25,1,0,34,27,1,0
244,4,0,6,18,0,1,27,87,1,1
191,3,3,2,10,0,1,13,43,0,0
387,3,1,2,7,0,1,32,24,0,0
233,4,3,5,13,1,0,35,10,1,0
116,3,2,8,13,0,1,35,26,1,1
139,3,1,9,24,0,1,21,32,1,1
196,4,0,8,22,0,1,20,37,0,0
370,1,0,7,24,0,1,30,20,0,0
394,1,0,4,5,0,1,38,76,0,1
162,1,3,9,10,1,1,34,20,0,0
65,4,3,7,24,1,0,46,33,1,0
320,1,3,1,16,1,1,42,14,1,1
74,1,2,7,10,1,1,21,90,1,1
363,2,3,2,5,1,1,29,25,0,0
370,2,3,5,10,0,1,23,28,0,0
323,4,1,6,6,1,1,20,35,0,0
251,2,2,3,8,1,1,46,74,0,1
341,1,1,5,12,1,1,48,36,0,0
408,2,0,5,25,0,0,50,4,1,0
274,2,2,4,22,0,0,45,88,0,0
262,4,0,7,23,0,0,29,25,1,0
333,1,0,3,11,0,0,17,27,0,0
248,4,2,7,8,0,1,15,65,0,1
358,2,2,4,18,1,1,30,59,1,1
92,3,3,4,23,0,1,15,54,1,1
167,2,2,8,25,1,0,21,6,0,0
359,4,0,1,16,1,0,48,8,0,0
485,3,2,10,6,0,0,43,40,1,0
179,3,3,7,16,1,1,40,20,1,1
124,2,3,1,8,1,0,35,10,1,0
491,3,3,6,13,1,1,24,40,1,1
90,4,1,6,20,1,1,46,67,0,1
419,3,1,7,5,0,1,17,44,1,1
464,1,0,9,23,1,0,13,51,1,0
163,3,3,8,5,1,0,31,17,0,0
72,3,3,6,9,0,1,50,38,1,1
282,4,0,1,6,1,1,28,16,0,0
234,2,1,6,15,1,1,31,23,1,1
65,1,2,6,24,0,0,46,27,0,0
245,3,1,7,15,1,0,45,33,1,0
306,3,2,4,9,1,1,28,29,0,0
281,1,1,8,16,1,0,37,79,1,1
386,4,3,4,8,1,1,36,47,0,0
386,1,3,2,22,0,0,12,37,1,0
371,3,1,1,16,1,0,19,33,0,0
458,3,3,6,16,1,0,38,81,1,1
249,2,2,8,24,1,0,20,7,0,0
233,2,1,2,15,0,1,42,85,1,1
489,2,1,1,24,0,1,42,86,1,1
212,2,0,6,5,1,0,41,33,1,0
336,3,2,7,13,0,1,32,27,0,0
217,1,0,6,19,1,1,12,6,1,1
174,1,2,8,19,0,0,22,25,0,0
381,1,1,9,24,1,0,30,73,0,0
77,2,2,5,15,1,0,42,10,0,0
103,3,2,4,14,1,1,38,40,0,0
60,3,3,6,23,1,1,49,59,0,0
167,2,0,1,22,0,1,41,43,0,0
389,3,2,2,11,0,0,12,65,1,1
119,3,3,3,11,1,0,48,74,1,1
206,1,3,3,14,1,1,39,1,1,1
273,4,1,6,25,1,0,47,82,0,0
392,4,1,8,9,1,1,45,16,0,0
294,2,2,5,19,0,1,36,33,0,0
294,1,0,8,6,1,0,30,5,1,0
349,3,0,6,17,0,1,41,36,0,0
395,2,1,8,14,0,1,15,15,0,0
365,3,3,4,12,1,1,23,26,1,1
286,3,3,2,21,0,1,39,55,0,0
249,1,2,10,21,1,0,33,81,1,1
387,4,2,1,15,1,0,31,9,1,0
428,2,3,2,8,1,0,26,76,1,1
355,3,0,4,25,1,1,14,28,1,1
399,1,2,6,7,1,0,42,7,0,0
325,3,1,3,14,1,0,29,80,1,1
461,3,0,3,18,0,0,45,25,1,0
313,3,3,2,9,0,1,40,35,1,1
174,4,3,1,12,1,0,31,67,0,0
475,2,3,1,9,0,0,45,77,1,1
427,3,1,7,25,1,0,11,78,1,1
349,2,1,10,25,1,1,40,76,1,1
340,1,1,9,7,0,0,14,32,1,0
211,2,2,9,18,1,1,21,15,0,0
301,2,1,3,21,0,1,24,47,1,1
132,4,3,3,9,0,1,27,64,1,1
95,3,0,4,18,0,1,42,8,0,0
449,2,3,8,16,0,0,23,88,1,1
98,4,0,3,16,1,0,44,62,0,0
360,1,0,1,9,0,0,27,1,1,0
499,3,1,8,12,0,0,42,15,1,0
120,4,3,9,11,0,1,24,72,0,1
191,2,3,1,15,1,0,17,30,1,0
242,2,3,3,17,1,1,12,18,0,0
445,2,2,6,18,1,0,27,77,1,1
415,4,2,8,25,1,1,35,84,1,1
389,4,2,6,19,1,0,17,68,0,0
459,1,3,7,10,1,1,50,67,1,1
342,1,3,7,24,1,1,24,39,1,1
247,3,0,2,19,1,1,23,28,1,1
181,2,2,9,19,0,0,15,54,1,0
111,3,1,10,25,0,1,26,18,1,1
319,3,0,6,11,0,0,16,66,1,1
497,1,2,7,21,0,1,30,58,1,1
432,1,2,8,24,1,0,24,8,1,0
98,4,0,5,7,0,0,15,24,1,0
94,3,2,6,6,1,0,23,56,1,0
263,4,1,5,18,0,0,48,3,0,0
218,2,0,10,13,1,0,34,51,1,0
421,2,1,2,14,1,1,19,5,1,1
472,1,3,6,19,1,1,23,25,1,1
328,2,2,8,12,0,1,38,11,0,0
228,3,3,10,16,0,1,26,42,0,0
298,3,3,2,15,0,0,14,39,0,0
211,4,2,6,14,0,1,32,29,1,1
422,3,0,9,6,0,0,27,72,1,1
169,1,2,2,13,0,1,14,85,0,1
277,2,0,10,25,1,0,20,85,1,1
391,4,2,10,10,1,0,27,30,0,0
290,1,0,7,20,1,0,16,82,0,0
384,3,0,1,7,1,1,29,35,1,1
80,2,2,1,21,0,1,11,86,0,1
195,3,3,5,20,0,0,35,4,1,0
168,2,1,1,14,1,0,25,67,0,0
372,1,2,4,25,1,0,50,85,1,1
109,4,0,7,14,0,0,39,17,1,0
287,2,1,4,21,0,0,20,71,0,0
357,2,3,6,19,0,0,47,11,1,0
124,2,1,3,18,0,1,27,64,0,1
327,4,2,2,9,1,0,23,53,1,0
486,1,1,7,12,1,0,23,73,1,1
105,2,2,1,21,1,1,30,81,1,1
290,1,2,7,9,0,0,40,60,0,0
145,4,3,10,23,0,0,39,25,0,0
482,2,0,4,6,0,1,40,80,1,1
369,1,0,6,25,1,0,27,65,0,0
201,1,3,10,17,1,1,32,84,0,1
241,2,0,7,11,0,1,47,45,0,0
51,3,3,7,9,1,0,24,29,0,0
360,4,3,8,20,1,0,29,29,0,0
316,2,0,6,9,1,1,30,31,0,0
84,2,2,6,20,1,1,22,60,1,1
308,3,3,6,7,0,0,50,28,0,0
149,4,2,6,17,1,1,35,63,1,1
